date,fund,price
2026-03-24,Zwitserleven Vastgoedfonds,24.06
2026-03-24,Zwitser­leven Vanguard US 500 Stock Index Fund,24.23
2026-03-24,Zwitserleven Vanguard Small Cap Fund,26.0
2026-03-24,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.22
2026-03-24,Zwitserleven Ultra Long Duration Fonds,23.44
2026-03-24,Zwitserleven Selectie Fonds,39.29
2026-03-24,Zwitserleven RZL Vastgoedfonds,43.68
2026-03-24,Zwitserleven RZL Europa Aandelenfonds,53.87
2026-03-24,Zwitserleven RZL Euro Obligatiefonds,26.27
2026-03-24,Zwitserleven RZL Euro Mixfonds,42.64
2026-03-24,Zwitserleven RZL Euro Kortlopend Obligatiefonds,19.89
2026-03-24,Zwitserleven RZL Azië Aandelenfonds,45.52
2026-03-24,Zwitserleven RendementsGarantie 2%,26.3
2026-03-24,Zwitserleven VP Wereld Aandelen,12.94
2026-03-24,Zwitserleven Obligatiefonds,17.29
2026-03-24,Zwitserleven Medium Duration Fonds,27.82
2026-03-24,PP Euro Mixfonds,40.55
2026-03-24,PP Euro Aandelenfonds,60.45
2026-03-24,Optimaalfonds Oranje,36.56
2026-03-24,Optimaal Wereld Aandelenfonds,69.25
2026-03-24,Optimaal Vastgoedfonds,33.03
2026-03-24,Optimaal Staatsobligaties 10+ Fonds,21.45
2026-03-24,Optimaal Euro Obligatiefonds,24.48
2026-03-24,Euro Obligatiefonds,24.28
2026-03-24,Euro Mixfonds,37.62
2026-03-24,Euro Aandelen­fonds,56.43
2026-03-24,Etappe Staatsobligaties 10+ Fonds,21.28
2026-03-24,Etappe Euro Obligatie­fonds,25.48
2026-03-24,Etappe Euro Aandelen­fonds,57.48
2026-03-24,ASN Milieu & Waterfonds,49.72
2026-03-24,ASN Duurzaam Obligatiefonds,25.22
2026-03-24,ASN Duurzaam Aandelenfonds,188.01
2026-03-24,Zwitserleven Mixfonds,56.64
2026-03-24,PP Euro Obligatiefonds,25.36
2026-03-24,PP Optimaal Euro Mixfonds,39.71
2026-03-24,Zwitserleven Amerika Aandelenfonds,95.67
2026-03-24,Wereld Beheer Mixfonds,37.68
2026-03-24,PP Wereld Aandelenfonds,73.0
2026-03-24,Zwitserleven MaatschappijGarantie (3%),46.47
2026-03-24,Zwitserleven MaatschappijGarantie (2%),41.67
2026-03-24,Zwitserleven Long Duration Fonds,26.52
2026-03-24,Zwitserleven Lifestyle Garantie,168.98
2026-03-24,Zwitserleven Kortlopend Obligatiefonds,6.04
2026-03-24,Zwitserleven Index Wereld Aandelenfonds,84.85
2026-03-24,Zwitserleven Index Aandelenfonds Pacific,36.56
2026-03-24,Zwitserleven Index Aandelenfonds Opkomende Landen,32.24
2026-03-24,Zwitserleven MaatschappijGarantie plus,53.58
2026-03-24,Zwitserleven Index Aandelenfonds Europa,40.96
2026-03-24,Zwitserleven Government Bonds 10+ Fonds,8.08
2026-03-24,Zwitser­leven Geldmarkt­fonds,25.25
2026-03-24,Zwitserleven Europees Aandelenfonds,35.6
2026-03-24,Zwitserleven Duurzaam Wereld Aandelenfonds,35.75
2026-03-24,Zwitserleven Credits Hypotheken Mixfonds,11.31
2026-03-24,Zwitserleven Credits Fonds,11.33
2026-03-24,Zwitserleven Index Aandelenfonds Noord-Amerika,47.75
2026-03-25,Zwitserleven PW Wereldbeheerfonds 3%,134.53
2026-03-25,Zwitserleven PW Verzekerd Rendementfonds,14.56
2026-03-25,Zwitserleven PW Vastrentendfonds Nederland 4%,19.68
2026-03-25,Zwitserleven PW Vastrentendfonds Nederland 3%,19.68
2026-03-25,Zwitserleven PW Vastrentendfonds,19.22
2026-03-25,Zwitserleven PW Safetyfonds,108.03
2026-03-25,Zwitserleven PPI iShares Government Bond index Fund,49.48
2026-03-25,Zwitserleven PW Garantiefonds,13.02
2026-03-25,Zwitserleven PW Europees Beheer Fonds 3%,179.3
2026-03-25,Zwitserleven PW Garandement,15.65
2026-03-25,Zwitserleven PW Europees Beheer Fonds 4%,181.15
2026-03-25,Zwitserleven PW Doorlopend Garantiefonds,13.2
2026-03-25,Zwitserleven PW Collectief Garantiefonds,19.61
2026-03-25,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,48.29
2026-03-25,Zwitserleven PPI Vanguard Small Cap Fund,52.5
2026-03-25,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.34
2026-03-25,Zwitserleven PW Wereldbeheerfonds 4%,135.74
2026-03-25,Zwitserleven PW Garantie Plusfonds,17.69
2026-03-25,Zwitserleven RendementsGarantie 1%,23.16
2026-03-25,Zwitserleven RZL Wereld Aandelenfonds,58.63
2026-03-25,Zwitserleven RZL Amerika Aandelenfonds,87.07
2026-03-25,Zwitser­leven PPI Geldmarkt­fonds,50.5
2026-03-25,Zwitserleven VP Wereld Aandelen,12.97
2026-03-25,Zwitserleven VP Selectie,9.99
2026-03-25,Zwitserleven VP Obligatie,8.73
2026-03-25,Zwitserleven VP Credits Hypothekenmix,9.92
2026-03-25,Zwitserleven Vastgoedfonds,24.05
2026-03-25,Zwitser­leven Vanguard US 500 Stock Index Fund,24.14
2026-03-25,Zwitserleven Vanguard Small Cap Fund,26.17
2026-03-25,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.15
2026-03-25,Zwitserleven Ultra Long Duration Fonds,23.49
2026-03-25,Zwitserleven Selectie Fonds,39.27
2026-03-25,Zwitserleven RZL Vastgoedfonds,43.74
2026-03-25,Zwitserleven RZL Europa Aandelenfonds,54.22
2026-03-25,Zwitserleven RZL Euro Obligatiefonds,26.24
2026-03-25,Zwitserleven RZL Euro Mixfonds,42.76
2026-03-25,Zwitserleven RZL Euro Kortlopend Obligatiefonds,19.88
2026-03-25,Zwitserleven RZL Azië Aandelenfonds,46.17
2026-03-25,Zwitserleven RendementsGarantie 2%,26.3
2026-03-25,Zwitserleven Wereld Aandelenfonds,83.16
2026-03-25,Zwitserleven Obligatiefonds,17.28
2026-03-25,Zwitserleven Medium Duration Fonds,27.8
2026-03-25,PP Euro Obligatiefonds,25.33
2026-03-25,PP Euro Mixfonds,40.66
2026-03-25,PP Euro Aandelenfonds,60.84
2026-03-25,Optimaalfonds Oranje,36.58
2026-03-25,Optimaal Wereld Aandelenfonds,69.43
2026-03-25,Optimaal Vastgoedfonds,33.08
2026-03-25,Optimaal Euro Obligatiefonds,24.46
2026-03-25,PP Optimaal Euro Mixfonds,39.82
2026-03-25,Euro Obligatiefonds,24.26
2026-03-25,Euro Aandelen­fonds,56.8
2026-03-25,Etappe Staatsobligaties 10+ Fonds,21.25
2026-03-25,Etappe Euro Obligatie­fonds,25.46
2026-03-25,Etappe Euro Aandelen­fonds,57.86
2026-03-25,ASN Milieu & Waterfonds,50.23
2026-03-25,ASN Duurzaam Obligatiefonds,25.2
2026-03-25,ASN Duurzaam Aandelenfonds,188.45
2026-03-25,Euro Mixfonds,37.72
2026-03-25,PP Wereld Aandelenfonds,73.19
2026-03-25,Optimaal Staatsobligaties 10+ Fonds,21.42
2026-03-25,Zwitserleven Amerika Aandelenfonds,95.53
2026-03-25,Wereld Beheer Mixfonds,37.7
2026-03-25,Zwitserleven MaatschappijGarantie (3%),46.47
2026-03-25,Zwitserleven MaatschappijGarantie (2%),41.67
2026-03-25,Zwitserleven Long Duration Fonds,26.52
2026-03-25,Zwitserleven Lifestyle Garantie,168.99
2026-03-25,Zwitserleven Kortlopend Obligatiefonds,6.04
2026-03-25,Zwitserleven Index Wereld Aandelenfonds,85.24
2026-03-25,Zwitserleven Index Aandelenfonds Pacific,37.43
2026-03-25,Zwitserleven Index Aandelenfonds Opkomende Landen,32.8
2026-03-25,Zwitserleven MaatschappijGarantie plus,53.59
2026-03-25,Zwitserleven Mixfonds,56.8
2026-03-25,Zwitserleven Index Aandelenfonds Europa,41.16
2026-03-25,Zwitserleven Government Bonds 10+ Fonds,8.06
2026-03-25,Zwitser­leven Geldmarkt­fonds,25.25
2026-03-25,Zwitserleven Europees Aandelenfonds,35.83
2026-03-25,Zwitserleven Duurzaam Wereld Aandelenfonds,35.9
2026-03-25,Zwitserleven Credits Hypotheken Mixfonds,11.3
2026-03-25,Zwitserleven Credits Fonds,11.32
2026-03-25,Zwitserleven Index Aandelenfonds Noord-Amerika,47.56
2026-03-26,Zwitserleven PW Safetyfonds,108.74
2026-03-26,Zwitserleven PW Vastrentendfonds,19.27
2026-03-26,Zwitserleven PW Wereldbeheerfonds 3%,135.43
2026-03-26,Zwitserleven PW Vastrentendfonds Nederland 4%,19.74
2026-03-26,Zwitserleven PW Verzekerd Rendementfonds,14.65
2026-03-26,Zwitserleven PW Garantiefonds,13.08
2026-03-26,Zwitserleven PW Vastrentendfonds Nederland 3%,19.74
2026-03-26,Zwitserleven PW Garantie Plusfonds,17.79
2026-03-26,Zwitserleven PW Wereldbeheerfonds 4%,136.64
2026-03-26,Zwitserleven PW Europees Beheer Fonds 4%,182.65
2026-03-26,Zwitserleven PW Europees Beheer Fonds 3%,180.78
2026-03-26,Zwitserleven PW Collectief Garantiefonds,19.7
2026-03-26,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,48.56
2026-03-26,Zwitserleven PPI Vanguard Small Cap Fund,53.22
2026-03-26,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.47
2026-03-26,Zwitserleven PPI iShares Government Bond index Fund,49.41
2026-03-26,Zwitserleven PW Garandement,15.69
2026-03-26,Zwitserleven PW Doorlopend Garantiefonds,13.24
2026-03-26,Zwitserleven Wereld Aandelenfonds,83.99
2026-03-26,Zwitserleven RZL Amerika Aandelenfonds,87.6
2026-03-26,Zwitser­leven PPI Geldmarkt­fonds,50.5
2026-03-26,Zwitserleven VP Wereld Aandelen,13.09
2026-03-26,Zwitserleven VP Selectie,10.03
2026-03-26,Zwitserleven VP Obligatie,8.76
2026-03-26,Zwitserleven VP Credits Hypothekenmix,9.94
2026-03-26,Zwitserleven Vastgoedfonds,24.05
2026-03-26,Zwitser­leven Vanguard US 500 Stock Index Fund,24.28
2026-03-26,Zwitserleven Vanguard Small Cap Fund,26.53
2026-03-26,Zwitserleven RendementsGarantie 2%,26.3
2026-03-26,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.21
2026-03-26,Zwitserleven Selectie Fonds,39.33
2026-03-26,Zwitserleven RZL Wereld Aandelenfonds,59.34
2026-03-26,Zwitserleven RZL Vastgoedfonds,43.95
2026-03-26,Zwitserleven RZL Europa Aandelenfonds,54.97
2026-03-26,Zwitserleven RZL Euro Obligatiefonds,26.32
2026-03-26,Zwitserleven RZL Euro Mixfonds,43.11
2026-03-26,Zwitserleven RZL Euro Kortlopend Obligatiefonds,19.89
2026-03-26,Zwitserleven RZL Azië Aandelenfonds,47.19
2026-03-26,Zwitserleven Ultra Long Duration Fonds,23.89
2026-03-26,Zwitserleven Obligatiefonds,17.32
2026-03-26,Zwitserleven RendementsGarantie 1%,23.16
2026-03-26,Zwitserleven Medium Duration Fonds,27.91
2026-03-26,PP Euro Obligatiefonds,25.41
2026-03-26,PP Euro Mixfonds,41.0
2026-03-26,PP Euro Aandelenfonds,61.68
2026-03-26,Optimaalfonds Oranje,36.83
2026-03-26,Optimaal Wereld Aandelenfonds,70.27
2026-03-26,Optimaal Vastgoedfonds,33.24
2026-03-26,Optimaal Euro Obligatiefonds,24.53
2026-03-26,Euro Obligatiefonds,24.33
2026-03-26,Euro Mixfonds,38.04
2026-03-26,Euro Aandelen­fonds,57.58
2026-03-26,Etappe Staatsobligaties 10+ Fonds,21.44
2026-03-26,Etappe Euro Obligatie­fonds,25.53
2026-03-26,Etappe Euro Aandelen­fonds,58.65
2026-03-26,ASN Milieu & Waterfonds,51.05
2026-03-26,ASN Duurzaam Obligatiefonds,25.28
2026-03-26,ASN Duurzaam Aandelenfonds,191.07
2026-03-26,Zwitserleven Mixfonds,57.27
2026-03-26,PP Optimaal Euro Mixfonds,40.15
2026-03-26,PP Wereld Aandelenfonds,74.08
2026-03-26,Optimaal Staatsobligaties 10+ Fonds,21.61
2026-03-26,Zwitserleven Amerika Aandelenfonds,96.03
2026-03-26,Wereld Beheer Mixfonds,37.95
2026-03-26,Zwitserleven MaatschappijGarantie (3%),46.47
2026-03-26,Zwitserleven MaatschappijGarantie (2%),41.68
2026-03-26,Zwitserleven Long Duration Fonds,26.89
2026-03-26,Zwitserleven Lifestyle Garantie,169.0
2026-03-26,Zwitserleven Kortlopend Obligatiefonds,6.04
2026-03-26,Zwitserleven Index Aandelenfonds Pacific,37.22
2026-03-26,Zwitserleven Index Aandelenfonds Opkomende Landen,33.51
2026-03-26,Zwitserleven Index Wereld Aandelenfonds,86.39
2026-03-26,Zwitserleven Index Aandelenfonds Europa,41.64
2026-03-26,Zwitserleven MaatschappijGarantie plus,53.59
2026-03-26,Zwitserleven Government Bonds 10+ Fonds,8.14
2026-03-26,Zwitser­leven Geldmarkt­fonds,25.25
2026-03-26,Zwitserleven Europees Aandelenfonds,36.33
2026-03-26,Zwitserleven Duurzaam Wereld Aandelenfonds,36.16
2026-03-26,Zwitserleven Credits Hypotheken Mixfonds,11.33
2026-03-26,Zwitserleven Credits Fonds,11.35
2026-03-26,Zwitserleven Index Aandelenfonds Noord-Amerika,47.85
2026-03-27,Zwitserleven PW Garantiefonds,13.0
2026-03-27,Zwitserleven PW Verzekerd Rendementfonds,14.53
2026-03-27,Zwitserleven PW Vastrentendfonds Nederland 4%,19.65
2026-03-27,Zwitserleven PW Vastrentendfonds Nederland 3%,19.65
2026-03-27,Zwitserleven PW Vastrentendfonds,19.19
2026-03-27,Zwitserleven PW Safetyfonds,107.82
2026-03-27,Zwitserleven PW Garantie Plusfonds,17.66
2026-03-27,Zwitserleven PPI iShares Government Bond index Fund,49.65
2026-03-27,Zwitserleven PW Europees Beheer Fonds 4%,180.75
2026-03-27,Zwitserleven PW Europees Beheer Fonds 3%,178.9
2026-03-27,Zwitserleven PW Doorlopend Garantiefonds,13.18
2026-03-27,Zwitserleven PW Collectief Garantiefonds,19.57
2026-03-27,Zwitser­leven PPI Vanguard US 500 Stock Index Fund,47.69
2026-03-27,Zwitserleven PPI Vanguard Small Cap Fund,52.67
2026-03-27,Zwitserleven PPI Vanguard Inflation Linked Bond Index Fund,50.27
2026-03-27,Zwitserleven PW Wereldbeheerfonds 3%,134.41
2026-03-27,Zwitserleven PW Garandement,15.62
2026-03-27,Zwitserleven PW Wereldbeheerfonds 4%,135.61
2026-03-27,Zwitserleven VP Selectie,10.01
2026-03-27,Zwitserleven RendementsGarantie 2%,26.3
2026-03-27,Zwitser­leven PPI Geldmarkt­fonds,50.5
2026-03-27,Zwitserleven VP Obligatie,8.7
2026-03-27,Zwitserleven VP Credits Hypothekenmix,9.91
2026-03-27,Zwitserleven Vastgoedfonds,24.01
2026-03-27,Zwitser­leven Vanguard US 500 Stock Index Fund,23.84
2026-03-27,Zwitserleven Vanguard Small Cap Fund,26.26
2026-03-27,Zwitserleven Vanguard Inflation Linked Bond Index Fund,25.11
2026-03-27,Zwitserleven Ultra Long Duration Fonds,23.42
2026-03-27,Zwitserleven Selectie Fonds,39.26
2026-03-27,Zwitserleven RZL Wereld Aandelenfonds,58.6
2026-03-27,Zwitserleven RZL Vastgoedfonds,43.81
2026-03-27,Zwitserleven RZL Europa Aandelenfonds,54.07
2026-03-27,Zwitserleven RZL Euro Obligatiefonds,26.21
2026-03-27,Zwitserleven RZL Euro Mixfonds,42.67
2026-03-27,Zwitserleven RZL Euro Kortlopend Obligatiefonds,19.87
2026-03-27,Zwitserleven RZL Azië Aandelenfonds,47.0
2026-03-27,Zwitserleven RZL Amerika Aandelenfonds,86.57
2026-03-27,Zwitserleven RendementsGarantie 1%,23.16
2026-03-27,Zwitserleven Obligatiefonds,17.26
2026-03-27,Zwitserleven Amerika Aandelenfonds,94.98
2026-03-27,Zwitserleven Medium Duration Fonds,27.73
2026-03-27,PP Euro Mixfonds,40.58
2026-03-27,PP Euro Aandelenfonds,60.66
2026-03-27,Optimaalfonds Oranje,36.55
2026-03-27,Optimaal Wereld Aandelenfonds,69.4
2026-03-27,Optimaal Vastgoedfonds,33.13
2026-03-27,Optimaal Staatsobligaties 10+ Fonds,21.37
2026-03-27,Optimaal Euro Obligatiefonds,24.42
2026-03-27,Euro Obligatiefonds,24.22
2026-03-27,Euro Mixfonds,37.64
2026-03-27,Euro Aandelen­fonds,56.63
2026-03-27,Etappe Staatsobligaties 10+ Fonds,21.21
2026-03-27,Etappe Euro Obligatie­fonds,25.42
2026-03-27,Etappe Euro Aandelen­fonds,57.69
2026-03-27,ASN Milieu & Waterfonds,50.48
2026-03-27,ASN Duurzaam Obligatiefonds,25.17
2026-03-27,ASN Duurzaam Aandelenfonds,188.82
2026-03-27,Zwitserleven VP Wereld Aandelen,12.91
2026-03-27,PP Euro Obligatiefonds,25.3
2026-03-27,Zwitserleven Mixfonds,56.68
2026-03-27,PP Optimaal Euro Mixfonds,39.73
2026-03-27,Wereld Beheer Mixfonds,37.66
2026-03-27,Zwitserleven MaatschappijGarantie plus,53.6
2026-03-27,Zwitserleven MaatschappijGarantie (3%),46.48
2026-03-27,Zwitserleven MaatschappijGarantie (2%),41.68
2026-03-27,Zwitserleven Long Duration Fonds,26.38
2026-03-27,Zwitserleven Lifestyle Garantie,169.02
2026-03-27,Zwitserleven Kortlopend Obligatiefonds,6.03
2026-03-27,Zwitserleven Index Wereld Aandelenfonds,85.34
2026-03-27,Zwitserleven Index Aandelenfonds Pacific,37.39
2026-03-27,Zwitserleven Index Aandelenfonds Opkomende Landen,33.02
2026-03-27,Zwitserleven Index Aandelenfonds Noord-Amerika,47.19
2026-03-27,Zwitserleven Index Aandelenfonds Europa,41.25
2026-03-27,Zwitserleven Government Bonds 10+ Fonds,8.05
2026-03-27,Zwitser­leven Geldmarkt­fonds,25.26
2026-03-27,Zwitserleven Europees Aandelenfonds,35.73
2026-03-27,Zwitserleven Duurzaam Wereld Aandelenfonds,35.44
2026-03-27,Zwitserleven Credits Hypotheken Mixfonds,11.29
2026-03-27,Zwitserleven Credits Fonds,11.31
2026-03-27,PP Wereld Aandelenfonds,73.16
2026-03-27,Zwitserleven Wereld Aandelenfonds,82.78
